"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.220973713E0,-1.276665926E-2,1.260303855E-1,7.310867310E-2
3.231136067E0,3.558993340E-3,1.108977199E-1,6.733608246E-2
3.241298420E0,1.485812664E-2,9.398949146E-2,6.638717651E-2
3.251460774E0,9.377807379E-3,5.617046356E-2,6.307983398E-2
3.261623127E0,1.089835167E-2,2.535122633E-2,5.742454529E-2
3.271785481E0,-9.028196335E-3,1.543134451E-2,4.478454590E-3
3.281947834E0,-1.679059863E-2,1.742362976E-2,-7.586956024E-2
3.292110188E0,-2.158775926E-2,3.171825409E-2,-7.667064667E-2
3.302272541E0,-2.378168702E-2,3.668606281E-2,2.783775330E-3
3.312434895E0,-3.058651090E-2,3.192895651E-2,4.541301727E-2
3.322597248E0,-4.920342565E-2,3.356128931E-2,2.109241486E-2
3.332759602E0,-6.063488126E-2,4.703962803E-2,-1.229381561E-2
3.342921956E0,-6.005921960E-2,6.085473299E-2,-3.327941895E-2
3.353114827E0,-7.379934192E-2,6.322675943E-2,-2.071666718E-2
3.363277180E0,-5.179467797E-2,5.851888657E-2,1.057434082E-2
3.373439534E0,-3.247800469E-2,5.102169514E-2,4.128360748E-2
3.383601887E0,-3.222516179E-2,3.828907013E-2,2.885818481E-2
3.393764241E0,-5.057099462E-2,5.869257450E-2,4.034042358E-2
3.403926594E0,-2.836605906E-2,6.446665525E-2,5.634403229E-2
3.414088948E0,-2.521729469E-2,6.779539585E-2,3.892707825E-2
3.424251301E0,-2.689266205E-2,7.350206375E-2,-1.836299896E-2
3.434413655E0,-3.104272485E-2,6.296700239E-2,-6.752490997E-2
3.444576008E0,-2.788066864E-2,4.855036736E-2,-9.684753418E-2
3.454738362E0,-2.914661169E-2,3.943115473E-2,-7.131671906E-2
3.464900715E0,-1.835086942E-2,2.359247208E-2,1.527690887E-2
3.475063069E0,3.222650290E-2,2.144277096E-2,1.310529709E-1
3.485225422E0,2.731674910E-2,3.942686319E-2,9.335708618E-2
3.495387776E0,-5.858093500E-3,5.676484108E-2,9.273529053E-3
3.505580647E0,-1.280066371E-2,7.210540771E-2,6.845283508E-2
3.515743000E0,-4.411727190E-2,8.496505022E-2,1.051387787E-1
